,
,
data_traditional.tif,
Emission wavelength,500 nm
NA,0.95
Refraction index,1.33
Voxel size,220 nm x 220 nm x 220 nm
Bead diameter,100 nm
,
Frame size,12 pixels
Threshold,197
,
Theoretical FWHM in XY,270 nm
Theoratical FWHM in Z,1.3 um
,
HeatMap Statistics,
FWHM min,422 nm +/- 11 nm
FWHMmin / Theoretical FWHMxy,1.566 +/- 0.04
FWHM max,550 nm +/- 36 nm
FWHMmax / Theoretical FWHMxy,2.041 +/- 0.134
FWHM z,2.08 um +/- 72.03 nm
FWHMz / Theoretical FWHMz,1.605 +/- 0.056
z0,+/- 8.33 um
(z0 - mean(z0)) / FWHMz,+/- 6.421
Asymmetry,0.772 +/- 0.054
Theta,-53.9 deg +/- 49.8 deg
,

Bead Id,x0 (um),y0 (um),z0 (um),FWHM min (um),FWHM max (um),FWHM z (um),z0 - mean(z0) (um),Asymmetry,Theta (degrees),R^2 FWHM min/max,R^2 FWHMz,Fit valid,Centroid brightness,Fitted Brightness(A),Fitted background(B),Image name
132,122.674,-81.665,1.344,0.725,1.397,2.794,-36.173,0.519,-80.566,0.724,0.81,0,274,99.112,120.576,data_traditional
133,-15.483,76.056,4.037,0.422,0.712,1.856,-33.48,0.592,-79.48,0.926,0.967,1,414,314.411,122.148,data_traditional
134,163.963,73.83,3.52,0.548,0.619,2.719,-33.997,0.885,14.52,0.383,0.94,0,273,169.3,103.385,data_traditional
135,21.777,57.39,3.839,0.438,0.651,2.301,-33.679,0.672,-75.438,0.889,0.981,0,411,292.733,123.971,data_traditional
136,49.377,40.141,3.914,0.435,0.658,2.49,-33.603,0.661,76.994,0.89,0.938,0,383,280.315,123.021,data_traditional
137,12.572,26.721,0.904,0.506,0.756,2.526,-36.614,0.669,13.994,0.877,0.796,0,396,189.361,119.434,data_traditional
138,-76.443,8.6,3.677,0.433,0.52,2.588,-33.841,0.834,81.224,0.964,0.97,1,458,441.861,121.461,data_traditional
139,120.453,3.031,4.322,0.455,0.554,2.923,-33.196,0.82,-83.796,0.937,0.963,1,424,357.012,121.149,data_traditional
140,81.619,1.781,3.506,0.463,0.581,2.527,-34.011,0.797,82.228,0.936,0.975,1,404,293.886,119.443,data_traditional
141,122.837,-18.905,3.264,0.457,0.61,3.463,-34.253,0.749,-37.712,0.885,0.937,0,237,171.849,119.189,data_traditional
142,141.711,-26.471,2.491,0.51,0.606,3.034,-35.026,0.842,-52.253,0.837,0.837,0,208,108.428,117.637,data_traditional
143,-59.214,-38.874,1.384,0.102,0.184,2.417,-36.133,0.555,77.204,0.026,0.759,0,0,4.273,132.278,data_traditional
144,-137.961,-50.641,3.472,0.415,0.576,2.522,-34.045,0.72,56.324,0.916,0.968,1,324,242.144,115.933,data_traditional
145,121.035,-61.022,1.567,0.581,1.006,2.72,-35.95,0.578,61.857,0.653,0.805,0,236,79.363,119.704,data_traditional
146,83.874,-75.225,-0.464,1.278,2.175,4.385,-37.981,0.587,32.604,0.463,0.864,0,146,38.62,117.121,data_traditional
147,-155.638,-81.845,1.435,0.408,0.954,2.486,-36.082,0.428,-53.974,0.629,0.889,0,209,100.66,119.301,data_traditional
148,137.588,-95.352,19.197,0,0,2.305,-18.321,0.0,0,0,0.978,0,432,0,0,data_traditional
149,84.749,82.489,3.836,0.422,0.518,2.171,-33.682,0.816,-81.835,0.613,0.956,0,379,262.382,135.701,data_traditional
150,-2.783,58.425,5.263,0.733,0.828,1.942,-32.254,0.885,21.609,0.826,0.707,0,288,117.51,120.387,data_traditional
151,-114.0,53.649,3.122,0.461,0.48,2.634,-34.395,0.96,32.983,0.863,0.913,0,243,172.367,116.996,data_traditional
152,-149.54,4.848,3.073,0.553,0.674,2.758,-34.445,0.821,28.479,0.792,0.877,0,191,88.472,114.551,data_traditional
153,147.252,3.64,2.561,0.435,0.835,2.203,-34.956,0.521,-41.056,0.839,0.788,0,209,119.843,115.612,data_traditional
154,157.765,-2.516,2.379,0.381,0.906,3.386,-35.138,0.421,-13.129,0.704,0.813,0,200,60.402,114.203,data_traditional
155,-31.185,-25.383,4.262,0.394,0.563,1.985,-33.255,0.699,87.713,0.959,0.981,1,566,556.904,124.883,data_traditional
156,124.98,-37.603,1.462,0.521,1.068,2.721,-36.055,0.488,62.403,0.728,0.834,0,202,81.633,119.349,data_traditional
157,-55.51,-39.638,1.357,0.542,1.154,3.246,-36.161,0.469,-11.521,0.815,0.792,0,386,189.845,121.808,data_traditional
158,45.9,-45.331,1.581,0.534,0.923,3.803,-35.936,0.578,23.454,0.808,0.772,0,397,192.559,121.465,data_traditional
159,145.52,-49.716,1.692,0.422,0.725,2.658,-35.825,0.582,74.404,0.65,0.836,0,179,91.91,118.243,data_traditional
160,29.937,96.004,4.557,0.608,0.953,2.205,-32.96,0.639,-88.249,0.579,0.977,0,457,292.061,93.219,data_traditional
161,-153.657,86.539,0.794,0.435,0.678,3.43,-36.723,0.642,-35.62,0.887,0.903,0,276,177.589,115.481,data_traditional
162,-144.729,67.734,3.533,0.463,0.618,2.937,-33.984,0.749,-7.952,0.876,0.901,0,245,128.978,117.113,data_traditional
163,3.454,53.879,3.929,0.403,0.613,1.983,-33.588,0.657,-84.903,0.9,0.941,0,367,281.548,123.47,data_traditional
164,-106.692,51.031,3.886,0.458,0.462,2.583,-33.631,0.992,-76.787,0.944,0.971,1,382,329.701,122.043,data_traditional
165,107.721,32.35,4.405,0.405,0.496,2.612,-33.112,0.816,-44.513,0.931,0.822,1,337,328.52,117.294,data_traditional
166,-90.217,16.938,4.384,0.43,0.503,2.403,-33.133,0.855,79.47,0.947,0.975,1,396,319.362,119.78,data_traditional
167,49.13,-10.179,4.664,0.436,0.59,2.416,-32.854,0.74,-84.407,0.95,0.983,1,701,596.879,129.286,data_traditional
168,-71.113,-34.149,4.246,0.419,0.56,2.323,-33.272,0.748,81.195,0.951,0.967,1,520,412.211,123.7,data_traditional
